0.337 0.563 0.987 0.854   1.0
0.790 0.531 0.006 0.808   1.0
0.168 0.758 0.194 0.868   -1.0
0.787 0.505 0.720 0.586   1.0
0.050 0.668 0.971 0.804   1.0
0.295 0.248 0.179 0.482   -1.0
0.590 0.820 0.439 0.577   1.0
0.802 0.368 0.204 0.808   1.0
0.400 0.976 0.934 0.595   1.0
0.602 0.382 0.350 0.322   1.0*
0.110 0.372 0.635 0.081   -1.0
0.058 0.377 0.424 0.237   -1.0
0.301 0.827 0.678 0.740   1.0
0.352 0.543 0.772 0.556   1.0
0.948 0.957 0.327 0.881   1.0
0.171 0.484 0.934 0.521   1.0
0.901 0.631 0.178 0.537   1.0
0.355 0.595 0.089 0.779   -1.0
0.948 0.081 0.660 0.627   1.0
0.065 0.978 0.363 0.837   1.0
0.714 0.784 0.491 0.041   1.0
0.042 0.212 0.149 0.976   -1.0
0.955 0.877 0.364 0.133   1.0
0.077 0.488 0.009 0.167   -1.0
0.842 0.115 0.348 0.502   -1.0
0.169 0.567 0.720 0.532   -1.0
0.254 0.246 0.188 0.745   -1.0
0.854 0.788 0.499 0.003   1.0
0.232 0.959 0.641 0.597   1.0
0.055 0.674 0.580 0.064   -1.0
0.848 0.907 0.956 0.196   1.0
0.697 0.365 0.976 0.417   1.0
0.380 0.671 0.143 0.568   -1.0
0.431 0.422 0.204 0.930   -1.0
0.967 0.162 0.384 0.608   1.0
0.475 0.663 0.434 0.055   -1.0
0.275 0.903 0.634 0.230   1.0
0.043 0.928 0.463 0.019   -1.0
0.360 0.398 0.015 0.504   1.0*
0.432 0.935 0.388 0.635   1.0
0.813 0.602 0.027 0.197   -1.0
0.787 0.673 0.873 0.220   1.0
0.600 0.495 0.631 0.234   -1.0
0.730 0.277 0.652 0.193   -1.0
0.997 0.554 0.694 0.012   1.0
0.660 0.444 0.992 0.048   1.0
0.857 0.861 0.682 0.884   1.0
0.892 0.671 0.731 0.765   1.0
0.459 0.365 0.385 0.090   -1.0
0.110 0.820 0.876 0.763   1.0
0.171 0.759 0.566 0.865   1.0
0.624 0.525 0.216 0.616   -1.0
0.295 0.473 0.434 0.977   1.0
0.493 0.869 0.027 0.224   -1.0
0.918 0.683 0.999 0.303   1.0
0.599 0.413 0.592 0.474   1.0
0.605 0.645 0.935 0.172   1.0
0.707 0.795 0.035 0.923   1.0
0.607 0.218 0.884 0.042   -1.0
0.241 0.534 0.063 0.268   -1.0
0.697 0.186 0.440 0.697   1.0
0.213 0.296 0.902 0.806   1.0
0.078 0.411 0.416 0.014   -1.0
0.926 0.721 0.378 0.960   1.0
0.789 0.568 0.861 0.673   1.0
0.056 0.913 0.144 0.119   -1.0
0.901 0.817 0.367 0.342   1.0
0.856 0.555 0.809 0.759   1.0
0.579 0.837 0.771 0.995   1.0
0.353 0.921 0.572 0.731   1.0
0.215 0.520 0.449 0.077   -1.0
0.058 0.133 0.106 0.202   -1.0
0.287 0.103 0.069 0.654   -1.0
0.582 0.510 1.000 0.392   1.0
0.360 0.971 0.106 0.131   1.0*
0.957 0.484 0.886 0.529   1.0
0.767 0.744 0.735 0.216   1.0
0.927 0.274 0.953 0.032   1.0
0.205 0.319 0.579 0.274   1.0*
0.024 0.856 0.484 0.023   -1.0
0.753 0.383 0.218 0.860   1.0
0.184 0.817 0.999 0.071   1.0
0.214 0.838 0.090 0.949   1.0
0.911 0.875 0.328 0.864   1.0
0.804 0.069 0.227 0.383   -1.0
0.201 0.407 0.198 0.684   -1.0
0.446 0.438 0.813 0.664   1.0
0.327 0.849 0.114 0.326   -1.0
0.460 0.540 0.757 0.550   1.0
0.811 0.461 0.364 0.139   -1.0
0.272 0.943 0.393 0.499   1.0
0.736 0.699 0.733 0.934   1.0
0.163 0.380 0.822 0.976   1.0
0.119 0.304 0.893 0.233   -1.0
0.812 0.694 0.169 0.569   1.0
0.658 0.380 0.704 0.021   -1.0
0.029 0.293 0.463 0.422   -1.0
0.789 0.158 0.491 0.522   -1.0
0.875 0.685 0.473 0.697   1.0
