0.403 0.100 0.921 0.400   -1.0
0.280 0.289 0.658 0.568   -1.0
0.313 0.320 0.724 0.113   -1.0
0.496 0.815 0.386 0.831   1.0
0.988 0.338 0.200 0.163   -1.0
0.482 0.500 0.220 0.861   1.0
0.780 0.264 0.575 0.701   1.0
0.604 0.981 0.954 0.263   1.0
0.896 0.575 0.869 0.620   1.0
0.051 0.117 0.504 0.437   -1.0
0.062 0.425 0.285 0.262   -1.0
0.744 0.744 0.089 0.964   1.0
0.563 0.744 0.869 0.138   1.0
0.534 0.743 0.426 0.487   1.0
0.974 0.384 0.581 0.843   1.0
0.270 0.895 0.121 0.773   1.0
0.068 0.835 0.757 0.354   1.0
0.345 0.098 0.841 0.434   -1.0
0.446 0.997 0.805 0.315   1.0
0.250 0.849 0.878 0.676   1.0
0.884 0.650 0.720 0.465   1.0
0.724 0.734 0.388 0.844   1.0
0.719 0.912 0.343 0.476   1.0
0.440 0.822 0.364 0.281   -1.0
0.425 0.727 0.253 0.231   -1.0
0.389 0.481 0.890 0.267   1.0
0.226 0.151 0.806 0.946   1.0
0.299 0.670 0.350 0.687   1.0
0.857 0.406 0.427 0.200   -1.0
0.693 0.641 0.705 0.056   1.0
0.961 0.482 0.648 0.214   1.0
0.690 0.603 0.193 0.581   1.0
0.349 0.807 0.022 0.155   -1.0
0.637 0.454 0.423 0.987   1.0
0.937 0.845 0.548 0.363   1.0
0.431 0.056 0.686 0.135   -1.0
0.608 0.096 0.594 0.256   -1.0
0.307 0.946 0.913 0.500   1.0
0.784 0.849 0.334 0.806   1.0
0.087 0.443 0.458 0.509   -1.0
0.600 0.446 0.275 0.147   -1.0
0.320 0.578 0.866 0.006   -1.0
0.978 0.614 0.809 0.572   1.0
0.119 0.879 0.816 0.032   -1.0
0.343 0.816 0.228 0.677   1.0
0.232 0.763 0.065 0.691   -1.0
0.495 0.290 0.719 0.771   1.0
0.528 0.091 0.016 0.394   -1.0
0.729 0.372 0.711 0.538   1.0
0.581 0.657 0.823 0.397   1.0
0.203 0.740 0.506 0.431   -1.0
0.127 0.663 0.180 0.192   -1.0
0.452 0.688 0.644 0.171   -1.0
0.082 0.699 0.549 0.097   -1.0
0.647 0.826 0.464 0.358   1.0
0.408 0.939 0.021 0.232   -1.0
