# Train and test dataset
# 50/50
# Seed 66407

# Dimensions(m,n)
param m := 100;
param n := 4;

param nu := 0.9;

# y_train and A_train
param y_train :=
1	-1
2	-1
3	-1
4	1
5	-1
6	1
7	1
8	1
9	1
10	-1
11	-1
12	1
13	1
14	1
15	1
16	1
17	1
18	-1
19	1
20	1
21	1
22	1
23	1
24	-1
25	-1
26	1
27	1
28	1
29	-1
30	1
31	1
32	1
33	-1
34	1
35	1
36	-1
37	-1
38	1
39	1
40	1
41	-1
42	1
43	1
44	-1
45	1
46	-1
47	1
48	-1
49	1
50	-1
51	-1
52	-1
53	-1
54	-1
55	1
56	-1
57	-1
58	1
59	-1
60	1
61	-1
62	1
63	1
64	-1
65	1
66	-1
67	1
68	1
69	1
70	-1
71	1
72	-1
73	1
74	-1
75	-1
76	1
77	-1
78	-1
79	1
80	-1
81	1
82	-1
83	1
84	-1
85	1
86	1
87	-1
88	-1
89	1
90	-1
91	1
92	-1
93	1
94	-1
95	1
96	1
97	-1
98	-1
99	-1
100	-1
;

param A_train : 1 2 3 4 :=
1	0.403	0.1	0.921	0.4
2	0.28	0.289	0.658	0.568
3	0.313	0.32	0.724	0.113
4	0.496	0.815	0.386	0.831
5	0.988	0.338	0.2	0.163
6	0.482	0.5	0.22	0.861
7	0.78	0.264	0.575	0.701
8	0.604	0.981	0.954	0.263
9	0.896	0.575	0.869	0.62
10	0.051	0.117	0.504	0.437
11	0.062	0.425	0.285	0.262
12	0.744	0.744	0.089	0.964
13	0.563	0.744	0.869	0.138
14	0.534	0.743	0.426	0.487
15	0.974	0.384	0.581	0.843
16	0.27	0.895	0.121	0.773
17	0.068	0.835	0.757	0.354
18	0.345	0.098	0.841	0.434
19	0.446	0.997	0.805	0.315
20	0.25	0.849	0.878	0.676
21	0.884	0.65	0.72	0.465
22	0.724	0.734	0.388	0.844
23	0.719	0.912	0.343	0.476
24	0.44	0.822	0.364	0.281
25	0.425	0.727	0.253	0.231
26	0.389	0.481	0.89	0.267
27	0.226	0.151	0.806	0.946
28	0.299	0.67	0.35	0.687
29	0.857	0.406	0.427	0.2
30	0.693	0.641	0.705	0.056
31	0.961	0.482	0.648	0.214
32	0.69	0.603	0.193	0.581
33	0.349	0.807	0.022	0.155
34	0.637	0.454	0.423	0.987
35	0.937	0.845	0.548	0.363
36	0.431	0.056	0.686	0.135
37	0.608	0.096	0.594	0.256
38	0.307	0.946	0.913	0.5
39	0.784	0.849	0.334	0.806
40	0.087	0.443	0.458	0.509
41	0.6	0.446	0.275	0.147
42	0.32	0.578	0.866	0.006
43	0.978	0.614	0.809	0.572
44	0.119	0.879	0.816	0.032
45	0.343	0.816	0.228	0.677
46	0.232	0.763	0.065	0.691
47	0.495	0.29	0.719	0.771
48	0.528	0.091	0.016	0.394
49	0.729	0.372	0.711	0.538
50	0.581	0.657	0.823	0.397
51	0.203	0.74	0.506	0.431
52	0.127	0.663	0.18	0.192
53	0.452	0.688	0.644	0.171
54	0.082	0.699	0.549	0.097
55	0.647	0.826	0.464	0.358
56	0.408	0.939	0.021	0.232
57	0.71	0.435	0.077	0.216
58	0.493	0.343	0.528	0.673
59	0.882	0.125	0.224	0.526
60	0.682	0.608	0.995	0.231
61	0.087	0.878	0.532	0.551
62	0.896	0.96	0.175	0.917
63	0.512	0.627	0.626	0.588
64	0.491	0.081	0.187	0.02
65	0.722	0.902	0.879	0.946
66	0.175	0.628	0.036	0.17
67	0.741	0.257	0.737	0.273
68	0.973	0.169	0.768	0.149
69	0.959	0.66	0.713	0.585
70	0.556	0.077	0.33	0.742
71	0.084	0.464	0.998	0.964
72	0.426	0.139	0.038	0.461
73	0.897	0.203	0.566	0.634
74	0.374	0.608	0.644	0.141
75	0.729	0.1	0.417	0.442
76	0.665	0.997	0.762	0.995
77	0.858	0.08	0.204	0.856
78	0.614	0.282	0.182	0.652
79	0.491	0.549	0.946	0.056
80	0.422	0.43	0.791	0.065
81	0.548	0.795	0.671	0.964
82	0.357	0.63	0.234	0.119
83	0.973	0.977	0.704	0.177
84	0.748	0.791	0.116	0.93
85	0.859	0.421	0.993	0.805
86	0.176	0.227	0.907	0.967
87	0.478	0.515	0.087	0.149
88	0.323	0.506	0.108	0.557
89	0.733	0.53	0.602	0.438
90	0.436	0.185	0.499	0.552
91	0.943	0.411	0.536	0.935
92	0.012	0.111	0.443	0.919
93	0.735	0.397	0.593	0.822
94	0.072	0.145	0.052	0.18
95	0.677	0.913	0.233	0.279
96	0.94	0.715	0.537	0.44
97	0.652	0.383	0.678	0.187
98	0.894	0.2	0.429	0.336
99	0.508	0.072	0.516	0.1
100	0.062	0.172	0.039	0.114
;



# y_test and A_test
param y_test :=
1	1
2	1
3	1
4	-1
5	1
6	-1
7	1
8	1
9	1
10	-1
11	-1
